Module,Start Date,Completion Date,Resource,Description
AI Agent,"November 7, 2022","December 11, 2022",Michael,"Apart of initial MVP to setup the architecture, components will be highly coupled to get initial framework"
Game Environment,"November 7, 2022","December 11, 2022",Michael,"Apart of initial MVP to setup the architecture, components will be highly coupled to get initial framework"
Game Loop,"November 7, 2022","December 11, 2022",Michael,"Apart of initial MVP to setup the architecture, components will be highly coupled to get initial framework"
Transmutter,"December 12, 2022","December 31, 2022",Hargun,Core game mechanic
Player,"December 12, 2022","December 31, 2022",Jonah,Core game mechanic
Actions,"January 1, 2023","January 22, 2023",Jonah,Decoupling to add extensibility to actions
Monument,"January 1, 2023","January 22, 2023",Hargun,Core game mechanic
Energy,"January 1, 2023","January 22, 2023",Jonah,Decoupling to add extensibility to additional game mechanics (core mechanic)
JSON,"January 1, 2023","January 15, 2023",Jeffrey,Needed to bridge simulation to data visualizer
Data Input,"January 1, 2023","January 15, 2023",Jeffrey,Needed to bridge simulation to data visualizer
Pie Chart,"January 1, 2023","January 29, 2023",Tianzheng,"Visualize data to solve business goals, can be done in parrallel with other modules"
Bar Graph,"January 1, 2023","January 29, 2023",Tianzheng,"Visualize data to solve business goals, can be done in parrallel with other modules"
Line Graph,"January 1, 2023","January 29, 2023",Tianzheng,"Visualize data to solve business goals, can be done in parrallel with other modules"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
